year,month,age,portfolio_end,income,taxed_income,monthly_raw_expenses,raw_expenses,net_expenses,gross_up,event
2032,6,62.42,3542695.11,32400.0,22129.2,6159.6,73915.23,51786.03,75821.42,
2032,7,62.5,3559148.51,32400.0,22129.2,6174.59,74095.13,51965.93,76084.81,
2032,8,62.58,3575685.78,32400.0,22129.2,6189.62,74275.46,52146.26,76348.84,
2032,9,62.67,3592307.39,32400.0,22129.2,6204.69,74456.23,52327.03,76613.52,
2032,10,62.75,3609013.83,32400.0,22129.2,6219.79,74637.45,52508.25,76878.84,
2032,11,62.83,3625805.6,32400.0,22129.2,6234.93,74819.1,52689.9,77144.8,
2032,12,62.92,3642683.19,32400.0,22129.2,6250.1,75001.2,52872.0,77411.42,
2033,1,63.0,3707017.23,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 1
2033,2,63.08,3772620.56,32400.0,22129.2,6084.27,73011.3,50882.1,74497.95,
2033,3,63.17,3839517.71,32400.0,22129.2,6068.59,72823.08,50693.88,74222.37,
2033,4,63.25,3907733.67,32400.0,22129.2,6052.95,72635.35,50506.15,73947.51,
2033,5,63.33,3977293.95,32400.0,22129.2,6037.34,72448.1,50318.9,73673.36,
2033,6,63.42,4048224.52,32400.0,22129.2,6021.78,72261.34,50132.14,73399.91,
2033,7,63.5,4120551.87,32400.0,22129.2,6006.25,72075.06,49945.86,73127.17,
2033,8,63.58,4194302.99,32400.0,22129.2,5990.77,71889.25,49760.05,72855.13,
2033,9,63.67,4269505.42,32400.0,22129.2,5975.33,71703.93,49574.73,72583.79,
2033,10,63.75,4346187.21,32400.0,22129.2,5959.92,71519.08,49389.88,72313.15,
2033,11,63.83,4424376.95,32400.0,22129.2,5944.56,71334.71,49205.51,72043.21,
2033,12,63.92,4504103.8,32400.0,22129.2,5929.24,71150.82,49021.62,71773.97,
2034,1,64.0,4548784.52,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 3
2034,2,64.08,4594354.46,32400.0,22129.2,5837.6,70051.17,47921.97,70163.94,
2034,3,64.17,4640807.17,32400.0,22129.2,5586.48,67037.8,44908.6,65751.98,
2034,4,64.25,4688136.81,32400.0,22129.2,5346.17,64154.05,42024.85,61529.8,
2034,5,64.33,4736338.14,32400.0,22129.2,5116.2,61394.35,39265.15,57489.24,
2034,6,64.42,4785406.55,32400.0,22129.2,4896.11,58753.37,36624.17,53622.5,
2034,7,64.5,4835337.96,32400.0,22129.2,4685.5,56225.99,34096.79,49922.09,
2034,8,64.58,4886128.88,32400.0,22129.2,4483.94,53807.33,31678.13,46380.86,
2034,9,64.67,4937776.31,32400.0,22129.2,4291.06,51492.71,29363.51,42991.96,
2034,10,64.75,4990277.8,32400.0,22129.2,4106.47,49277.66,27148.46,39748.85,
2034,11,64.83,5043631.37,32400.0,22129.2,3929.82,47157.9,25028.7,36645.24,
2034,12,64.92,5097835.53,32400.0,22129.2,3760.78,45129.32,23000.12,33675.13,
2035,1,65.0,5108375.28,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 4
2035,2,65.08,5118925.16,32400.0,22129.2,6116.77,73401.28,51272.08,75068.93,
2035,3,65.17,5129485.11,32400.0,22129.2,6133.59,73603.11,51473.91,75364.44,
2035,4,65.25,5140055.11,32400.0,22129.2,6150.46,73805.5,51676.3,75660.76,
2035,5,65.33,5150635.13,32400.0,22129.2,6167.37,74008.44,51879.24,75957.89,
2035,6,65.42,5161225.12,32400.0,22129.2,6184.33,74211.94,52082.74,76255.84,
2035,7,65.5,5171825.05,32400.0,22129.2,6201.33,74416.0,52286.8,76554.61,
2035,8,65.58,5182434.89,32400.0,22129.2,6218.39,74620.62,52491.42,76854.2,
2035,9,65.67,5193054.6,32400.0,22129.2,6235.48,74825.81,52696.61,77154.62,
2035,10,65.75,5203684.14,32400.0,22129.2,6252.63,75031.55,52902.35,77455.86,
2035,11,65.83,5214323.47,32400.0,22129.2,6269.82,75237.87,53108.67,77757.93,
2035,12,65.92,5224972.57,32400.0,22129.2,6287.06,75444.75,53315.55,78060.83,
2036,1,66.0,5242354.56,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Market Crash Year 5
2036,2,66.08,5259783.57,32400.0,22129.2,6121.54,73458.44,51329.24,75152.62,
2036,3,66.17,5277259.71,32400.0,22129.2,6143.15,73717.8,51588.6,75532.35,
2036,4,66.25,5294783.07,32400.0,22129.2,6164.84,73978.07,51848.87,75913.42,
2036,5,66.33,5312353.75,32400.0,22129.2,6186.6,74239.26,52110.06,76295.84,
2036,6,66.42,5329971.86,32400.0,22129.2,6208.45,74501.37,52372.17,76679.6,
2036,7,66.5,5347637.5,32400.0,22129.2,6230.37,74764.4,52635.2,77064.72,
2036,8,66.58,5365350.77,32400.0,22129.2,6252.36,75028.37,52899.17,77451.2,
2036,9,66.67,5383111.76,32400.0,22129.2,6274.44,75293.27,53164.07,77839.04,
2036,10,66.75,5400920.6,32400.0,22129.2,6296.59,75559.1,53429.9,78228.25,
